Title,Artist
1. Blitzkrieg Bop…Ramones (1976),
2. Anarchy in the U.K....Sex Pistols (1976),
3. God Save the Queen…Sex Pistols (1977),
4. London Calling…The Clash (1979),
5. Holiday in Cambodia...Dead Kennedys (1980),
6. Rise Above…Black Flag (1981),
7. Sonic Reducer…Dead Boys (1977),
8. Search and Destroy…The Stooges (1973),
9. I Wanna Be Sedated…Ramones (1978),
10. California Uber Alles…Dead Kennedys (1980),
11. Gloria…Patti Smith (1975),
12. Kick Out the Jams…MC5 (1969),
13. Ever Fallen in Love…Buzzcocks (1978),
14. White Riot…The Clash (1977),
15. Personality Crisis…New York Dolls (1973),
16. Blank Generation…Richard Hell & the Voidoids (1977),
17. Psycho Killer…Talking Heads (1977),
18. 12 X U…Wire (1977),
19. Sheena Is a Punk Rocker…Ramones (1977),
20. New Rose…The Damned (1976),
21. Longview…Green Day (1994),
22. Complete Control…The Clash (1977),
23. I Wanna Be Your Dog…The Stooges (1969),
24. Waiting Room…Fugazi (1989),
25. Welcome to Paradise…Green Day (1994),
26. Pay to Cum…Bad Brains (1980),
27. Institutionalized…Suicidal Tendencies (1983),
28. Chinese Rocks…The Heartbreakers (1977),
29. Where Eagles Dare…The Misfits (1979),
30. Oh Bondage! Up Yours…X-Ray Spex (1977),
31. In the City…The Jam (1977),
32. Alternative Ulster…Stiff Little Fingers (1978),
33. Orgasm Addict…Buzzcocks (1977),
34. American Jesus…Bad Religion (1993),
35. I Against I…Bad Brains (1986),
36. American Idiot…Green Day (2004),
37. Straight Edge…Minor Threat (1981),
38. White Man in Hammersmith Palais…The Clash (1978),
39. Bastards of Young…The Replacements (1985),
40. Celebrated Summer…Husker Du (1985),
41. Ruby Soho…Rancid (1995),
42. Johnny Hit and Run Paulene…X (1980),
43. Banned in D.C….Bad Brains (1982),
44. X-Offender…Blondie (1976),
45. Roadrunner…The Modern Lovers (1975),
46. Basket Case…Green Day (1994),
"47. Radio, Radio…Elvis Costello (1978)",
48. Nazi Punks Fuck Off…Dead Kennedys (1981),
49. See No Evil…Television (1977),
50. TV Party…Black Flag (1981),
