Song,Artist
Help Me,Sonny Boy Williamson II
A Man Of Many Words,Buddy Guy
Don’t Think Twice,Susan Tedeschi
Everyday I Have the Blues,B.B. King
Going Down,Freddie King
Evil,Howlin’ Wolf
Drifting,Fleetwood Mac
Pinetop’s Boogie Woogie,Pinetop Perkins
Trouble In Mind,Big Walter Hornton
Brick,Albert Collins
Whisky And Wimmen,John Lee Hooker
Five Long Years,Ike and Tina Turner
Love Me Like a Man,Bonnie Raitt
Black Rose,Eric Clapton
Blues Boys Tune,B.B. King
True Lies,Kenny Wayne Shepherd
Sacred Ground,John Mooney
Minnie the Moocher,Cab Caloway
Everybody Needs Somebody To Love,Solomon Burke
Spoonful,Howlin’ Wolf
Sinner’s Prayer,Ray Charles
Statesboro Blues,Allman Brothers Band
Black,Cashman
Juke,Little Walter
Walking by Myself,Jimmy Rogers
Messing with the Blues,James Brown and the Famous Flames
Born Blind,Sonny Boy Williamson II
Lovin’ In My Baby’s Eyes,Taj Mahal
Double Trouble,Otis Rush
Give Me Back My Wig,Hound Dog Taylor
You Shook Me,Willie Dixon
Killing Floor,Howlin’ Wolf
Rock Me Mamma,Sonny Terry
I Ain’t Drunk,Ike Turner
My Head’s in Mississippi,ZZ Top
Think It Over,Dave Hole
We’re Gonna Make It (Single Version),Little Milton
Blues Before Sunrise,Eric Clapton
You Can’t Judge a Book by the Cover,Bo Diddley
It Hurts Me Too,Paul Butterfield Band
I Just Want to Make Love to You,Willie Dixon
Going Down to the Ocean,Chris James and Patrick Ryan
Center of Attention,Tommy Castro and the Painkillers
Reconsider Baby,Lowell Fulson
You Don’t Exist Any More,Lil’ Ed & The Blues Imperials
Shame Shame Shame,Jimmy Reed
Maybellene,Chuck Berry
I Don’t Believe a Word You Say,"Ben Harper, Charlie Musselwhite"
Cherry Red Wine,Luther Allison
That’s Why I’m Crying,Koko Taylor
Crow Jane Blues,Sonny Terry
Blue and Lonesome,Rolling Stones
Black Cat Bone,Albert Collins/Johnny Copeland
"One Bourbon, One Scotch, One Beer",John Lee Hooker
The Sky is Crying,Stevie Ray Vaughan
Six Strings Down,Jimmie Vaughn
Fight the Power,Public Enemy
Rapper's Delight,The Sugarhill Gang
Nuthin' but a 'G' Thang,Dr. Dre
Walk This Way,Run-D.M.C.
The Message,Grandmaster Flash and the Furious Five
Straight Outta Compton,N.W.A
Juicy,The Notorious B.I.G.
